Week,State_SEIR,Age_Cat,Value
Week 1,S,Age Cat 1,11
Week 1,S,Age Cat 2,56
Week 1,S,Age Cat 3,84
Week 1,S,Age Cat 4,15
Week 1,S,Age Cat 5,35
Week 1,E,Age Cat 1,69
Week 1,E,Age Cat 2,9
Week 1,E,Age Cat 3,16
Week 1,E,Age Cat 4,31
Week 1,E,Age Cat 5,15
Week 1,I,Age Cat 1,3
Week 1,I,Age Cat 2,43
Week 1,I,Age Cat 3,66
Week 1,I,Age Cat 4,98
Week 1,I,Age Cat 5,21
Week 1,R,Age Cat 1,97
Week 1,R,Age Cat 2,85
Week 1,R,Age Cat 3,1
Week 1,R,Age Cat 4,59
Week 1,R,Age Cat 5,2
Week 2,S,Age Cat 1,58
Week 2,S,Age Cat 2,99
Week 2,S,Age Cat 3,58
Week 2,S,Age Cat 4,41
Week 2,S,Age Cat 5,38
Week 2,E,Age Cat 1,90
Week 2,E,Age Cat 2,17
Week 2,E,Age Cat 3,17
Week 2,E,Age Cat 4,19
Week 2,E,Age Cat 5,77
Week 2,I,Age Cat 1,66
Week 2,I,Age Cat 2,27
Week 2,I,Age Cat 3,62
Week 2,I,Age Cat 4,75
Week 2,I,Age Cat 5,66
Week 2,R,Age Cat 1,9
Week 2,R,Age Cat 2,82
Week 2,R,Age Cat 3,40
Week 2,R,Age Cat 4,26
Week 2,R,Age Cat 5,68
Week 3,S,Age Cat 1,56
Week 3,S,Age Cat 2,51
Week 3,S,Age Cat 3,38
Week 3,S,Age Cat 4,8
Week 3,S,Age Cat 5,92
Week 3,E,Age Cat 1,30
Week 3,E,Age Cat 2,85
Week 3,E,Age Cat 3,39
Week 3,E,Age Cat 4,68
Week 3,E,Age Cat 5,13
Week 3,I,Age Cat 1,10
Week 3,I,Age Cat 2,56
Week 3,I,Age Cat 3,66
Week 3,I,Age Cat 4,45
Week 3,I,Age Cat 5,58
Week 3,R,Age Cat 1,39
Week 3,R,Age Cat 2,73
Week 3,R,Age Cat 3,44
Week 3,R,Age Cat 4,46
Week 3,R,Age Cat 5,33
